ShopID,ItemID,Price,DailyStock,Seasons,Chance,MinStage
shop_milky,drink_milk,30,6,All,1,
shop_milky,food_egg,18,6,All,1,
shop_milky,drink_water_bottle,6,10,All,1,
shop_milky,item_herbal_tea,18,5,All,1,
shop_milky,food_warm_milk,45,4,All,1,
shop_milky,food_fried_egg,50,4,All,1,
shop_milky,food_baked_apple,16,5,All,1,
shop_milky,food_strawberry,12,8,Spring,1,
shop_milky,food_tomato_stew,42,3,Summer,1,
shop_milky,food_pumpkin_soup,45,3,Autumn|Winter,1,
shop_milky,food_veggie_omelette,85,2,All,1,Curious
shop_milky,food_golden_feast,320,1,All,0.25,Trust
shop_dravia,item_iron_ore,20,8,All,1,
shop_dravia,item_arrow,2,30,All,1,
shop_dravia,tool_axe,40,1,All,1,
shop_dravia,tool_pickaxe,40,1,All,1,
shop_dravia,tool_hoe,45,1,All,1,
shop_dravia,tool_watering_can,50,1,All,1,
shop_dravia,weapon_bow,150,1,All,0.5,
shop_dravia,equipment_work_hat,60,1,All,1,Curious
shop_dravia,item_iron_axe,240,1,All,1,Trust
shop_lichel,seed_potato,6,12,Spring,1,
shop_lichel,seed_strawberry,8,12,Spring,1,
shop_lichel,seed_tomato,8,12,Summer,1,
shop_lichel,seed_pumpkin,14,12,Autumn,1,
shop_lichel,seed_winter_radish,9,12,Winter,1,
shop_lichel,item_animal_feed,3,30,All,1,
shop_lichel,resource_worm_bait,2,20,All,1,
shop_lichel,medicine_bandage,18,3,All,1,
shop_lichel,item_arrow,2,20,All,0.5,
shop_lichel,tool_fishing_rod_basic,60,1,All,0.25,
shop_lichel,equipment_cloth_cap,35,1,All,0.3,Curious
shop_lichel,equipment_small_backpack,450,1,All,0.15,
shop_bellamorta,item_vitality_potion,60,3,All,1,
shop_bellamorta,item_herbal_tea,20,5,All,1,
shop_bellamorta,item_wild_mushroom,14,6,All,1,
shop_bellamorta,item_iron_ore,24,3,All,1,Curious
shop_bellamorta,medicine_antidote,58,1,All,0.3,Trust
shop_arachne,item_spider_silk,25,6,All,1,
shop_arachne,item_plant_fiber,4,20,All,1,
shop_arachne,equipment_cloth_cap,40,1,All,1,
shop_arachne,equipment_cloth_shirt,90,1,All,1,Curious
shop_milu,food_sweet_jelly,22,5,All,1,
shop_milu,drink_water_bottle,6,10,All,1,
shop_milu,food_berry,6,10,All,1,
shop_milu,food_strawberry,14,6,Spring|Summer,1,
shop_kasumi,food_inari_sushi,45,3,All,1,
shop_kasumi,item_herbal_tea,18,5,All,1,
shop_kasumi,food_apple,8,8,All,1,
shop_kasumi,food_tomato,18,5,Summer,1,
shop_seira,medicine_antidote,50,3,All,1,
shop_seira,item_wild_mushroom,12,6,All,1,
shop_seira,item_herbal_tea,20,4,All,1,
shop_seira,medicine_bandage,20,3,All,1,
shop_pipi,item_scrap_parts,18,8,All,1,
shop_pipi,tool_axe,38,1,All,1,
shop_pipi,tool_pickaxe,38,1,All,1,
shop_pipi,resource_stone,3,20,All,1,
shop_pipi,item_arrow,2,20,All,0.5,
shop_pipi,item_iron_ore,22,4,All,1,Curious
shop_pipi,equipment_small_backpack,420,1,All,0.3,Trust
shop_safira,medicine_desert_salve,40,3,All,1,
shop_safira,item_herbal_tea,20,4,All,1,
shop_safira,medicine_bandage,18,3,All,1,
shop_safira,drink_water_bottle,7,8,All,1,
